NAME                                                              AGE
monitoring-kube-prometheus-alertmanager.rules                     10m
monitoring-kube-prometheus-config-reloaders                       10m
monitoring-kube-prometheus-etcd                                   10m
monitoring-kube-prometheus-general.rules                          10m
monitoring-kube-prometheus-k8s.rules.container-cpu-usage-second   10m
monitoring-kube-prometheus-k8s.rules.container-memory-cache       10m
monitoring-kube-prometheus-k8s.rules.container-memory-rss         10m
monitoring-kube-prometheus-k8s.rules.container-memory-swap        10m
monitoring-kube-prometheus-k8s.rules.container-memory-working-s   10m
monitoring-kube-prometheus-k8s.rules.container-resource           10m
monitoring-kube-prometheus-k8s.rules.pod-owner                    10m
monitoring-kube-prometheus-kube-apiserver-availability.rules      10m
monitoring-kube-prometheus-kube-apiserver-burnrate.rules          10m
monitoring-kube-prometheus-kube-apiserver-histogram.rules         10m
monitoring-kube-prometheus-kube-apiserver-slos                    10m
monitoring-kube-prometheus-kube-prometheus-general.rules          10m
monitoring-kube-prometheus-kube-prometheus-node-recording.rules   10m
monitoring-kube-prometheus-kube-scheduler.rules                   10m
monitoring-kube-prometheus-kube-state-metrics                     10m
monitoring-kube-prometheus-kubelet.rules                          10m
monitoring-kube-prometheus-kubernetes-apps                        10m
monitoring-kube-prometheus-kubernetes-resources                   10m
monitoring-kube-prometheus-kubernetes-storage                     10m
monitoring-kube-prometheus-kubernetes-system                      10m
monitoring-kube-prometheus-kubernetes-system-apiserver            10m
monitoring-kube-prometheus-kubernetes-system-controller-manager   10m
monitoring-kube-prometheus-kubernetes-system-kube-proxy           10m
monitoring-kube-prometheus-kubernetes-system-kubelet              10m
monitoring-kube-prometheus-kubernetes-system-scheduler            10m
monitoring-kube-prometheus-node-exporter                          10m
monitoring-kube-prometheus-node-exporter.rules                    10m
monitoring-kube-prometheus-node-network                           10m
monitoring-kube-prometheus-node.rules                             10m
monitoring-kube-prometheus-prometheus                             10m
monitoring-kube-prometheus-prometheus-operator                    10m
reliability-governance-alerts                                     8s
reliability-governance-rules                                      9s
