NAME                              READY   STATUS    RESTARTS      AGE     IP            NODE                      NOMINATED NODE   READINESS GATES
api-7bc645fffb-44vzv              1/1     Running   2 (26m ago)   23h     10.244.1.4    reliability-lab-worker2   <none>           <none>
api-7bc645fffb-9hj7w              1/1     Running   2 (26m ago)   23h     10.244.1.7    reliability-lab-worker2   <none>           <none>
api-7bc645fffb-lb9p9              1/1     Running   2 (26m ago)   23h     10.244.2.11   reliability-lab-worker    <none>           <none>
dependency-564c667995-c6jgr       1/1     Running   0             5m19s   10.244.2.18   reliability-lab-worker    <none>           <none>
dependency-564c667995-sq7pd       1/1     Running   0             5m12s   10.244.1.12   reliability-lab-worker2   <none>           <none>
dependency-564c667995-wnzpp       1/1     Running   0             5m26s   10.244.1.11   reliability-lab-worker2   <none>           <none>
frontend-565d8c75db-m2rml         1/1     Running   3 (26m ago)   23h     10.244.2.14   reliability-lab-worker    <none>           <none>
frontend-565d8c75db-n7lhs         1/1     Running   2 (26m ago)   23h     10.244.1.6    reliability-lab-worker2   <none>           <none>
frontend-565d8c75db-ws98d         1/1     Running   2 (26m ago)   23h     10.244.1.3    reliability-lab-worker2   <none>           <none>
reliability-app-f4dc7b56c-5nf6c   1/1     Running   2 (26m ago)   24h     10.244.2.7    reliability-lab-worker    <none>           <none>
reliability-app-f4dc7b56c-69q54   1/1     Running   4 (26m ago)   4d8h    10.244.2.3    reliability-lab-worker    <none>           <none>
reliability-app-f4dc7b56c-nxt6l   1/1     Running   2 (26m ago)   24h     10.244.2.8    reliability-lab-worker    <none>           <none>
