NAME                                                              AGE
monitoring-kube-prometheus-alertmanager.rules                     17d
monitoring-kube-prometheus-config-reloaders                       17d
monitoring-kube-prometheus-etcd                                   17d
monitoring-kube-prometheus-general.rules                          17d
monitoring-kube-prometheus-k8s.rules.container-cpu-usage-second   17d
monitoring-kube-prometheus-k8s.rules.container-memory-cache       17d
monitoring-kube-prometheus-k8s.rules.container-memory-rss         17d
monitoring-kube-prometheus-k8s.rules.container-memory-swap        17d
monitoring-kube-prometheus-k8s.rules.container-memory-working-s   17d
monitoring-kube-prometheus-k8s.rules.container-resource           17d
monitoring-kube-prometheus-k8s.rules.pod-owner                    17d
monitoring-kube-prometheus-kube-apiserver-availability.rules      17d
monitoring-kube-prometheus-kube-apiserver-burnrate.rules          17d
monitoring-kube-prometheus-kube-apiserver-histogram.rules         17d
monitoring-kube-prometheus-kube-apiserver-slos                    17d
monitoring-kube-prometheus-kube-prometheus-general.rules          17d
monitoring-kube-prometheus-kube-prometheus-node-recording.rules   17d
monitoring-kube-prometheus-kube-scheduler.rules                   17d
monitoring-kube-prometheus-kube-state-metrics                     17d
monitoring-kube-prometheus-kubelet.rules                          17d
monitoring-kube-prometheus-kubernetes-apps                        17d
monitoring-kube-prometheus-kubernetes-resources                   17d
monitoring-kube-prometheus-kubernetes-storage                     17d
monitoring-kube-prometheus-kubernetes-system                      17d
monitoring-kube-prometheus-kubernetes-system-apiserver            17d
monitoring-kube-prometheus-kubernetes-system-controller-manager   17d
monitoring-kube-prometheus-kubernetes-system-kube-proxy           17d
monitoring-kube-prometheus-kubernetes-system-kubelet              17d
monitoring-kube-prometheus-kubernetes-system-scheduler            17d
monitoring-kube-prometheus-node-exporter                          17d
monitoring-kube-prometheus-node-exporter.rules                    17d
monitoring-kube-prometheus-node-network                           17d
monitoring-kube-prometheus-node.rules                             17d
monitoring-kube-prometheus-prometheus                             17d
monitoring-kube-prometheus-prometheus-operator                    17d
multi-service-slo-alerts                                          4m24s
reliability-app-alerts                                            16d
